	Offense Parent Group	month	crime_rate	parent_count
0	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-01	78.2	553
1	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-02	70.14	496
2	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-03	72.97	516
3	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-04	74.1	524
4	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-05	90.5	640
5	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-06	81.45	576
6	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-07	85.98	608
7	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-08	75.94	537
8	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-09	77.21	546
9	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-10	79.76	564
10	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-11	79.05	559
11	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2018-12	76.93	544
12	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-01	75.81	548
13	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-02	51.46	372
14	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-03	69.17	500
15	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-04	69.86	505
16	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-05	69.44	502
17	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-06	63.77	461
18	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-07	73.59	532
19	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-08	77.33	559
20	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-09	65.43	473
21	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-10	60.31	436
22	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-11	67.23	486
23	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2019-12	61.84	447
24	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-01	62.32	461
25	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-02	52.18	386
26	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-03	67.05	496
27	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-04	74.76	553
28	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-05	75.3	557
29	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-06	74.22	549
30	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-07	85.98	636
31	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-08	81.11	600
32	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-09	91.25	675
33	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-10	93.28	690
34	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-11	73.27	542
35	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2020-12	72.73	538
36	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-01	70.42	533
37	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-02	64.34	487
38	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-03	71.74	543
39	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-04	62.49	473
40	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-05	75.18	569
41	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-06	81.65	618
42	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-07	89.97	681
43	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-08	90.9	688
44	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-09	86.27	653
45	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-10	95.26	721
46	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-11	88.78	672
47	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2021-12	87.86	665
48	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-01	80.83	626
49	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-02	83.15	644
50	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-03	81.86	634
51	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-04	73.73	571
52	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-05	87.67	679
53	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-06	81.99	635
54	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-07	90.51	701
55	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-08	80.96	627
56	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-09	76.57	593
57	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-10	76.31	591
58	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-11	62.11	481
59	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2022-12	64.3	498
60	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2023-01	72.69	576
61	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	2023-02	31.17	247
