	Offense Parent Group	month	crime_rate	parent_count
0	LARCENY-THEFT	2018-01	312.23	2208
1	LARCENY-THEFT	2018-02	292.58	2069
2	LARCENY-THEFT	2018-03	302.48	2139
3	LARCENY-THEFT	2018-04	303.18	2144
4	LARCENY-THEFT	2018-05	331.18	2342
5	LARCENY-THEFT	2018-06	335.14	2370
6	LARCENY-THEFT	2018-07	333.3	2357
7	LARCENY-THEFT	2018-08	316.05	2235
8	LARCENY-THEFT	2018-09	318.03	2249
9	LARCENY-THEFT	2018-10	326.23	2307
10	LARCENY-THEFT	2018-11	315.63	2232
11	LARCENY-THEFT	2018-12	328.78	2325
12	LARCENY-THEFT	2019-01	310.01	2241
13	LARCENY-THEFT	2019-02	227.7	1646
14	LARCENY-THEFT	2019-03	287.18	2076
15	LARCENY-THEFT	2019-04	284.42	2056
16	LARCENY-THEFT	2019-05	283.45	2049
17	LARCENY-THEFT	2019-06	287.87	2081
18	LARCENY-THEFT	2019-07	324.39	2345
19	LARCENY-THEFT	2019-08	330.48	2389
20	LARCENY-THEFT	2019-09	318.86	2305
21	LARCENY-THEFT	2019-10	323.01	2335
22	LARCENY-THEFT	2019-11	316.23	2286
23	LARCENY-THEFT	2019-12	308.62	2231
24	LARCENY-THEFT	2020-01	305.92	2263
25	LARCENY-THEFT	2020-02	276.72	2047
26	LARCENY-THEFT	2020-03	237.11	1754
27	LARCENY-THEFT	2020-04	247.79	1833
28	LARCENY-THEFT	2020-05	225.49	1668
29	LARCENY-THEFT	2020-06	170.2	1259
30	LARCENY-THEFT	2020-07	221.97	1642
31	LARCENY-THEFT	2020-08	241.03	1783
32	LARCENY-THEFT	2020-09	325.93	2411
33	LARCENY-THEFT	2020-10	315.92	2337
34	LARCENY-THEFT	2020-11	292.54	2164
35	LARCENY-THEFT	2020-12	310.38	2296
36	LARCENY-THEFT	2021-01	281.94	2134
37	LARCENY-THEFT	2021-02	229.62	1738
38	LARCENY-THEFT	2021-03	267.54	2025
39	LARCENY-THEFT	2021-04	258.29	1955
40	LARCENY-THEFT	2021-05	292.25	2212
41	LARCENY-THEFT	2021-06	283.79	2148
42	LARCENY-THEFT	2021-07	311.67	2359
43	LARCENY-THEFT	2021-08	319.59	2419
44	LARCENY-THEFT	2021-09	339.41	2569
45	LARCENY-THEFT	2021-10	367.95	2785
46	LARCENY-THEFT	2021-11	335.45	2539
47	LARCENY-THEFT	2021-12	313.25	2371
48	LARCENY-THEFT	2022-01	339.59	2630
49	LARCENY-THEFT	2022-02	330.3	2558
50	LARCENY-THEFT	2022-03	330.68	2561
51	LARCENY-THEFT	2022-04	340.5	2637
52	LARCENY-THEFT	2022-05	322.94	2501
53	LARCENY-THEFT	2022-06	298.01	2308
54	LARCENY-THEFT	2022-07	312.09	2417
55	LARCENY-THEFT	2022-08	319.32	2473
56	LARCENY-THEFT	2022-09	288.07	2231
57	LARCENY-THEFT	2022-10	287.81	2229
58	LARCENY-THEFT	2022-11	269.48	2087
59	LARCENY-THEFT	2022-12	270.9	2098
60	LARCENY-THEFT	2023-01	255.04	2021
61	LARCENY-THEFT	2023-02	104.99	832
