,Unnamed: 0.1,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count,Season
0,0,0,ASSAULT OFFENSES,2018-01,126.14,892,Winter
1,1,1,ASSAULT OFFENSES,2018-02,109.03,771,Winter
2,2,2,ASSAULT OFFENSES,2018-03,125.71,889,Spring
3,3,3,ASSAULT OFFENSES,2018-04,124.16,878,Spring
4,4,4,ASSAULT OFFENSES,2018-05,147.35,1042,Spring
5,5,5,ASSAULT OFFENSES,2018-06,135.9,961,Summer
6,6,6,ASSAULT OFFENSES,2018-07,151.59,1072,Summer
7,7,7,ASSAULT OFFENSES,2018-08,148.76,1052,Summer
8,8,8,ASSAULT OFFENSES,2018-09,137.45,972,Autumn
9,9,9,ASSAULT OFFENSES,2018-10,135.75,960,Autumn
10,10,10,ASSAULT OFFENSES,2018-11,135.33,957,Autumn
11,11,11,ASSAULT OFFENSES,2018-12,122.46,866,Winter
12,12,12,ASSAULT OFFENSES,2019-01,123.81,895,Winter
13,13,13,ASSAULT OFFENSES,2019-02,101.81,736,Winter
14,14,14,ASSAULT OFFENSES,2019-03,131.0,947,Spring
15,15,15,ASSAULT OFFENSES,2019-04,122.98,889,Spring
16,16,16,ASSAULT OFFENSES,2019-05,141.38,1022,Spring
17,17,17,ASSAULT OFFENSES,2019-06,129.2,934,Summer
18,18,18,ASSAULT OFFENSES,2019-07,146.5,1059,Summer
19,19,19,ASSAULT OFFENSES,2019-08,139.86,1011,Summer
20,20,20,ASSAULT OFFENSES,2019-09,127.82,924,Autumn
21,21,21,ASSAULT OFFENSES,2019-10,132.11,955,Autumn
22,22,22,ASSAULT OFFENSES,2019-11,123.12,890,Autumn
23,23,23,ASSAULT OFFENSES,2019-12,129.07,933,Winter
24,24,24,ASSAULT OFFENSES,2020-01,124.5,921,Winter
25,25,25,ASSAULT OFFENSES,2020-02,113.28,838,Winter
26,26,26,ASSAULT OFFENSES,2020-03,114.5,847,Spring
27,27,27,ASSAULT OFFENSES,2020-04,107.2,793,Spring
28,28,28,ASSAULT OFFENSES,2020-05,118.96,880,Spring
29,29,29,ASSAULT OFFENSES,2020-06,115.58,855,Summer
30,30,30,ASSAULT OFFENSES,2020-07,133.56,988,Summer
31,31,31,ASSAULT OFFENSES,2020-08,134.78,997,Summer
32,32,32,ASSAULT OFFENSES,2020-09,122.34,905,Autumn
33,33,33,ASSAULT OFFENSES,2020-10,116.66,863,Autumn
34,34,34,ASSAULT OFFENSES,2020-11,100.85,746,Autumn
35,35,35,ASSAULT OFFENSES,2020-12,99.63,737,Winter
36,36,36,ASSAULT OFFENSES,2021-01,105.3,797,Winter
37,37,37,ASSAULT OFFENSES,2021-02,101.47,768,Winter
38,38,38,ASSAULT OFFENSES,2021-03,111.11,841,Spring
39,39,39,ASSAULT OFFENSES,2021-04,113.89,862,Spring
40,40,40,ASSAULT OFFENSES,2021-05,123.53,935,Spring
41,41,41,ASSAULT OFFENSES,2021-06,132.51,1003,Summer
42,42,42,ASSAULT OFFENSES,2021-07,145.07,1098,Summer
43,43,43,ASSAULT OFFENSES,2021-08,138.86,1051,Summer
44,44,44,ASSAULT OFFENSES,2021-09,123.79,937,Autumn
45,45,45,ASSAULT OFFENSES,2021-10,135.55,1026,Autumn
46,46,46,ASSAULT OFFENSES,2021-11,114.81,869,Autumn
47,47,47,ASSAULT OFFENSES,2021-12,117.06,886,Winter
48,48,48,ASSAULT OFFENSES,2022-01,117.24,908,Winter
49,49,49,ASSAULT OFFENSES,2022-02,105.11,814,Winter
50,50,50,ASSAULT OFFENSES,2022-03,126.8,982,Spring
51,51,51,ASSAULT OFFENSES,2022-04,112.85,874,Spring
52,52,52,ASSAULT OFFENSES,2022-05,134.16,1039,Spring
53,53,53,ASSAULT OFFENSES,2022-06,134.16,1039,Summer
54,54,54,ASSAULT OFFENSES,2022-07,135.84,1052,Summer
55,55,55,ASSAULT OFFENSES,2022-08,135.71,1051,Summer
56,56,56,ASSAULT OFFENSES,2022-09,128.48,995,Autumn
57,57,57,ASSAULT OFFENSES,2022-10,130.93,1014,Autumn
58,58,58,ASSAULT OFFENSES,2022-11,108.59,841,Autumn
59,59,59,ASSAULT OFFENSES,2022-12,103.56,802,Winter
60,60,60,ASSAULT OFFENSES,2023-01,110.17,873,Winter
61,61,61,ASSAULT OFFENSES,2023-02,48.59,385,Winter
