,Unnamed: 0.1,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count,Season
0,0,0,BURGLARY/BREAKING&ENTERING,2018-01,101.96,721,Winter
1,1,1,BURGLARY/BREAKING&ENTERING,2018-02,82.44,583,Winter
2,2,2,BURGLARY/BREAKING&ENTERING,2018-03,99.69,705,Spring
3,3,3,BURGLARY/BREAKING&ENTERING,2018-04,99.69,705,Spring
4,4,4,BURGLARY/BREAKING&ENTERING,2018-05,104.64,740,Spring
5,5,5,BURGLARY/BREAKING&ENTERING,2018-06,92.77,656,Summer
6,6,6,BURGLARY/BREAKING&ENTERING,2018-07,92.48,654,Summer
7,7,7,BURGLARY/BREAKING&ENTERING,2018-08,98.0,693,Summer
8,8,8,BURGLARY/BREAKING&ENTERING,2018-09,86.12,609,Autumn
9,9,9,BURGLARY/BREAKING&ENTERING,2018-10,98.28,695,Autumn
10,10,10,BURGLARY/BREAKING&ENTERING,2018-11,94.6,669,Autumn
11,11,11,BURGLARY/BREAKING&ENTERING,2018-12,95.73,677,Winter
12,12,12,BURGLARY/BREAKING&ENTERING,2019-01,112.88,816,Winter
13,13,13,BURGLARY/BREAKING&ENTERING,2019-02,67.78,490,Winter
14,14,14,BURGLARY/BREAKING&ENTERING,2019-03,83.0,600,Spring
15,15,15,BURGLARY/BREAKING&ENTERING,2019-04,77.33,559,Spring
16,16,16,BURGLARY/BREAKING&ENTERING,2019-05,85.49,618,Spring
17,17,17,BURGLARY/BREAKING&ENTERING,2019-06,88.4,639,Summer
18,18,18,BURGLARY/BREAKING&ENTERING,2019-07,89.78,649,Summer
19,19,19,BURGLARY/BREAKING&ENTERING,2019-08,90.33,653,Summer
20,20,20,BURGLARY/BREAKING&ENTERING,2019-09,91.99,665,Autumn
21,21,21,BURGLARY/BREAKING&ENTERING,2019-10,93.38,675,Autumn
22,22,22,BURGLARY/BREAKING&ENTERING,2019-11,92.96,672,Autumn
23,23,23,BURGLARY/BREAKING&ENTERING,2019-12,94.34,682,Winter
24,24,24,BURGLARY/BREAKING&ENTERING,2020-01,89.09,659,Winter
25,25,25,BURGLARY/BREAKING&ENTERING,2020-02,80.7,597,Winter
26,26,26,BURGLARY/BREAKING&ENTERING,2020-03,102.2,756,Spring
27,27,27,BURGLARY/BREAKING&ENTERING,2020-04,131.8,975,Spring
28,28,28,BURGLARY/BREAKING&ENTERING,2020-05,122.48,906,Spring
29,29,29,BURGLARY/BREAKING&ENTERING,2020-06,103.01,762,Summer
30,30,30,BURGLARY/BREAKING&ENTERING,2020-07,116.66,863,Summer
31,31,31,BURGLARY/BREAKING&ENTERING,2020-08,123.02,910,Summer
32,32,32,BURGLARY/BREAKING&ENTERING,2020-09,140.73,1041,Autumn
33,33,33,BURGLARY/BREAKING&ENTERING,2020-10,135.99,1006,Autumn
34,34,34,BURGLARY/BREAKING&ENTERING,2020-11,129.64,959,Autumn
35,35,35,BURGLARY/BREAKING&ENTERING,2020-12,135.32,1001,Winter
36,36,36,BURGLARY/BREAKING&ENTERING,2021-01,118.91,900,Winter
37,37,37,BURGLARY/BREAKING&ENTERING,2021-02,103.84,786,Winter
38,38,38,BURGLARY/BREAKING&ENTERING,2021-03,111.11,841,Spring
39,39,39,BURGLARY/BREAKING&ENTERING,2021-04,105.56,799,Spring
40,40,40,BURGLARY/BREAKING&ENTERING,2021-05,110.85,839,Spring
41,41,41,BURGLARY/BREAKING&ENTERING,2021-06,103.98,787,Summer
42,42,42,BURGLARY/BREAKING&ENTERING,2021-07,104.51,791,Summer
43,43,43,BURGLARY/BREAKING&ENTERING,2021-08,94.33,714,Summer
44,44,44,BURGLARY/BREAKING&ENTERING,2021-09,103.58,784,Autumn
45,45,45,BURGLARY/BREAKING&ENTERING,2021-10,115.07,871,Autumn
46,46,46,BURGLARY/BREAKING&ENTERING,2021-11,119.04,901,Autumn
47,47,47,BURGLARY/BREAKING&ENTERING,2021-12,114.28,865,Winter
48,48,48,BURGLARY/BREAKING&ENTERING,2022-01,116.34,901,Winter
49,49,49,BURGLARY/BREAKING&ENTERING,2022-02,103.17,799,Winter
50,50,50,BURGLARY/BREAKING&ENTERING,2022-03,104.07,806,Spring
51,51,51,BURGLARY/BREAKING&ENTERING,2022-04,96.45,747,Spring
52,52,52,BURGLARY/BREAKING&ENTERING,2022-05,100.59,779,Spring
53,53,53,BURGLARY/BREAKING&ENTERING,2022-06,86.9,673,Summer
54,54,54,BURGLARY/BREAKING&ENTERING,2022-07,95.68,741,Summer
55,55,55,BURGLARY/BREAKING&ENTERING,2022-08,86.77,672,Summer
56,56,56,BURGLARY/BREAKING&ENTERING,2022-09,81.61,632,Autumn
57,57,57,BURGLARY/BREAKING&ENTERING,2022-10,98.0,759,Autumn
58,58,58,BURGLARY/BREAKING&ENTERING,2022-11,85.22,660,Autumn
59,59,59,BURGLARY/BREAKING&ENTERING,2022-12,77.73,602,Winter
60,60,60,BURGLARY/BREAKING&ENTERING,2023-01,82.66,655,Winter
61,61,61,BURGLARY/BREAKING&ENTERING,2023-02,39.75,315,Winter
