,Unnamed: 0.1,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count,Season
0,0,0,MOTOR VEHICLE THEFT,2018-01,45.96,325,Winter
1,1,1,MOTOR VEHICLE THEFT,2018-02,42.71,302,Winter
2,2,2,MOTOR VEHICLE THEFT,2018-03,49.78,352,Spring
3,3,3,MOTOR VEHICLE THEFT,2018-04,48.65,344,Spring
4,4,4,MOTOR VEHICLE THEFT,2018-05,43.27,306,Spring
5,5,5,MOTOR VEHICLE THEFT,2018-06,41.57,294,Summer
6,6,6,MOTOR VEHICLE THEFT,2018-07,52.04,368,Summer
7,7,7,MOTOR VEHICLE THEFT,2018-08,52.89,374,Summer
8,8,8,MOTOR VEHICLE THEFT,2018-09,53.31,377,Autumn
9,9,9,MOTOR VEHICLE THEFT,2018-10,53.03,375,Autumn
10,10,10,MOTOR VEHICLE THEFT,2018-11,46.95,332,Autumn
11,11,11,MOTOR VEHICLE THEFT,2018-12,48.79,345,Winter
12,12,12,MOTOR VEHICLE THEFT,2019-01,37.21,269,Winter
13,13,13,MOTOR VEHICLE THEFT,2019-02,30.71,222,Winter
14,14,14,MOTOR VEHICLE THEFT,2019-03,36.66,265,Spring
15,15,15,MOTOR VEHICLE THEFT,2019-04,40.39,292,Spring
16,16,16,MOTOR VEHICLE THEFT,2019-05,43.16,312,Spring
17,17,17,MOTOR VEHICLE THEFT,2019-06,49.39,357,Summer
18,18,18,MOTOR VEHICLE THEFT,2019-07,54.78,396,Summer
19,19,19,MOTOR VEHICLE THEFT,2019-08,55.75,403,Summer
20,20,20,MOTOR VEHICLE THEFT,2019-09,53.26,385,Autumn
21,21,21,MOTOR VEHICLE THEFT,2019-10,52.98,383,Autumn
22,22,22,MOTOR VEHICLE THEFT,2019-11,50.63,366,Autumn
23,23,23,MOTOR VEHICLE THEFT,2019-12,47.59,344,Winter
24,24,24,MOTOR VEHICLE THEFT,2020-01,52.05,385,Winter
25,25,25,MOTOR VEHICLE THEFT,2020-02,39.07,289,Winter
26,26,26,MOTOR VEHICLE THEFT,2020-03,40.42,299,Spring
27,27,27,MOTOR VEHICLE THEFT,2020-04,49.75,368,Spring
28,28,28,MOTOR VEHICLE THEFT,2020-05,39.07,289,Spring
29,29,29,MOTOR VEHICLE THEFT,2020-06,50.29,372,Summer
30,30,30,MOTOR VEHICLE THEFT,2020-07,59.35,439,Summer
31,31,31,MOTOR VEHICLE THEFT,2020-08,65.83,487,Summer
32,32,32,MOTOR VEHICLE THEFT,2020-09,71.92,532,Autumn
33,33,33,MOTOR VEHICLE THEFT,2020-10,73.27,542,Autumn
34,34,34,MOTOR VEHICLE THEFT,2020-11,62.73,464,Autumn
35,35,35,MOTOR VEHICLE THEFT,2020-12,64.21,475,Winter
36,36,36,MOTOR VEHICLE THEFT,2021-01,56.68,429,Winter
37,37,37,MOTOR VEHICLE THEFT,2021-02,47.96,363,Winter
38,38,38,MOTOR VEHICLE THEFT,2021-03,50.07,379,Spring
39,39,39,MOTOR VEHICLE THEFT,2021-04,46.37,351,Spring
40,40,40,MOTOR VEHICLE THEFT,2021-05,45.85,347,Spring
41,41,41,MOTOR VEHICLE THEFT,2021-06,52.85,400,Summer
42,42,42,MOTOR VEHICLE THEFT,2021-07,52.58,398,Summer
43,43,43,MOTOR VEHICLE THEFT,2021-08,63.55,481,Summer
44,44,44,MOTOR VEHICLE THEFT,2021-09,73.33,555,Autumn
45,45,45,MOTOR VEHICLE THEFT,2021-10,77.42,586,Autumn
46,46,46,MOTOR VEHICLE THEFT,2021-11,66.72,505,Autumn
47,47,47,MOTOR VEHICLE THEFT,2021-12,68.57,519,Winter
48,48,48,MOTOR VEHICLE THEFT,2022-01,71.53,554,Winter
49,49,49,MOTOR VEHICLE THEFT,2022-02,67.79,525,Winter
50,50,50,MOTOR VEHICLE THEFT,2022-03,71.02,550,Spring
51,51,51,MOTOR VEHICLE THEFT,2022-04,61.85,479,Spring
52,52,52,MOTOR VEHICLE THEFT,2022-05,72.05,558,Spring
53,53,53,MOTOR VEHICLE THEFT,2022-06,68.18,528,Summer
54,54,54,MOTOR VEHICLE THEFT,2022-07,71.02,550,Summer
55,55,55,MOTOR VEHICLE THEFT,2022-08,77.99,604,Summer
56,56,56,MOTOR VEHICLE THEFT,2022-09,73.99,573,Autumn
57,57,57,MOTOR VEHICLE THEFT,2022-10,90.9,704,Autumn
58,58,58,MOTOR VEHICLE THEFT,2022-11,86.51,670,Autumn
59,59,59,MOTOR VEHICLE THEFT,2022-12,82.9,642,Winter
60,60,60,MOTOR VEHICLE THEFT,2023-01,81.77,648,Winter
61,61,61,MOTOR VEHICLE THEFT,2023-02,36.72,291,Winter
