,Unnamed: 0.1,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count,Season
0,0,0,LARCENY-THEFT,2018-01,312.23,2208,Winter
1,1,1,LARCENY-THEFT,2018-02,292.58,2069,Winter
2,2,2,LARCENY-THEFT,2018-03,302.48,2139,Spring
3,3,3,LARCENY-THEFT,2018-04,303.18,2144,Spring
4,4,4,LARCENY-THEFT,2018-05,331.18,2342,Spring
5,5,5,LARCENY-THEFT,2018-06,335.14,2370,Summer
6,6,6,LARCENY-THEFT,2018-07,333.3,2357,Summer
7,7,7,LARCENY-THEFT,2018-08,316.05,2235,Summer
8,8,8,LARCENY-THEFT,2018-09,318.03,2249,Autumn
9,9,9,LARCENY-THEFT,2018-10,326.23,2307,Autumn
10,10,10,LARCENY-THEFT,2018-11,315.63,2232,Autumn
11,11,11,LARCENY-THEFT,2018-12,328.78,2325,Winter
12,12,12,LARCENY-THEFT,2019-01,310.01,2241,Winter
13,13,13,LARCENY-THEFT,2019-02,227.7,1646,Winter
14,14,14,LARCENY-THEFT,2019-03,287.18,2076,Spring
15,15,15,LARCENY-THEFT,2019-04,284.42,2056,Spring
16,16,16,LARCENY-THEFT,2019-05,283.45,2049,Spring
17,17,17,LARCENY-THEFT,2019-06,287.87,2081,Summer
18,18,18,LARCENY-THEFT,2019-07,324.39,2345,Summer
19,19,19,LARCENY-THEFT,2019-08,330.48,2389,Summer
20,20,20,LARCENY-THEFT,2019-09,318.86,2305,Autumn
21,21,21,LARCENY-THEFT,2019-10,323.01,2335,Autumn
22,22,22,LARCENY-THEFT,2019-11,316.23,2286,Autumn
23,23,23,LARCENY-THEFT,2019-12,308.62,2231,Winter
24,24,24,LARCENY-THEFT,2020-01,305.92,2263,Winter
25,25,25,LARCENY-THEFT,2020-02,276.72,2047,Winter
26,26,26,LARCENY-THEFT,2020-03,237.11,1754,Spring
27,27,27,LARCENY-THEFT,2020-04,247.79,1833,Spring
28,28,28,LARCENY-THEFT,2020-05,225.49,1668,Spring
29,29,29,LARCENY-THEFT,2020-06,170.2,1259,Summer
30,30,30,LARCENY-THEFT,2020-07,221.97,1642,Summer
31,31,31,LARCENY-THEFT,2020-08,241.03,1783,Summer
32,32,32,LARCENY-THEFT,2020-09,325.93,2411,Autumn
33,33,33,LARCENY-THEFT,2020-10,315.92,2337,Autumn
34,34,34,LARCENY-THEFT,2020-11,292.54,2164,Autumn
35,35,35,LARCENY-THEFT,2020-12,310.38,2296,Winter
36,36,36,LARCENY-THEFT,2021-01,281.94,2134,Winter
37,37,37,LARCENY-THEFT,2021-02,229.62,1738,Winter
38,38,38,LARCENY-THEFT,2021-03,267.54,2025,Spring
39,39,39,LARCENY-THEFT,2021-04,258.29,1955,Spring
40,40,40,LARCENY-THEFT,2021-05,292.25,2212,Spring
41,41,41,LARCENY-THEFT,2021-06,283.79,2148,Summer
42,42,42,LARCENY-THEFT,2021-07,311.67,2359,Summer
43,43,43,LARCENY-THEFT,2021-08,319.59,2419,Summer
44,44,44,LARCENY-THEFT,2021-09,339.41,2569,Autumn
45,45,45,LARCENY-THEFT,2021-10,367.95,2785,Autumn
46,46,46,LARCENY-THEFT,2021-11,335.45,2539,Autumn
47,47,47,LARCENY-THEFT,2021-12,313.25,2371,Winter
48,48,48,LARCENY-THEFT,2022-01,339.59,2630,Winter
49,49,49,LARCENY-THEFT,2022-02,330.3,2558,Winter
50,50,50,LARCENY-THEFT,2022-03,330.68,2561,Spring
51,51,51,LARCENY-THEFT,2022-04,340.5,2637,Spring
52,52,52,LARCENY-THEFT,2022-05,322.94,2501,Spring
53,53,53,LARCENY-THEFT,2022-06,298.01,2308,Summer
54,54,54,LARCENY-THEFT,2022-07,312.09,2417,Summer
55,55,55,LARCENY-THEFT,2022-08,319.32,2473,Summer
56,56,56,LARCENY-THEFT,2022-09,288.07,2231,Autumn
57,57,57,LARCENY-THEFT,2022-10,287.81,2229,Autumn
58,58,58,LARCENY-THEFT,2022-11,269.48,2087,Autumn
59,59,59,LARCENY-THEFT,2022-12,270.9,2098,Winter
60,60,60,LARCENY-THEFT,2023-01,255.04,2021,Winter
61,61,61,LARCENY-THEFT,2023-02,104.99,832,Winter
