,Unnamed: 0,Offense Parent Group,month,crime_rate,parent_count
0,0,BURGLARY/BREAKING&ENTERING,2018-01,101.96,721
1,1,BURGLARY/BREAKING&ENTERING,2018-02,82.44,583
2,2,BURGLARY/BREAKING&ENTERING,2018-03,99.69,705
3,3,BURGLARY/BREAKING&ENTERING,2018-04,99.69,705
4,4,BURGLARY/BREAKING&ENTERING,2018-05,104.64,740
5,5,BURGLARY/BREAKING&ENTERING,2018-06,92.77,656
6,6,BURGLARY/BREAKING&ENTERING,2018-07,92.48,654
7,7,BURGLARY/BREAKING&ENTERING,2018-08,98.0,693
8,8,BURGLARY/BREAKING&ENTERING,2018-09,86.12,609
9,9,BURGLARY/BREAKING&ENTERING,2018-10,98.28,695
10,10,BURGLARY/BREAKING&ENTERING,2018-11,94.6,669
11,11,BURGLARY/BREAKING&ENTERING,2018-12,95.73,677
12,12,BURGLARY/BREAKING&ENTERING,2019-01,112.88,816
13,13,BURGLARY/BREAKING&ENTERING,2019-02,67.78,490
14,14,BURGLARY/BREAKING&ENTERING,2019-03,83.0,600
15,15,BURGLARY/BREAKING&ENTERING,2019-04,77.33,559
16,16,BURGLARY/BREAKING&ENTERING,2019-05,85.49,618
17,17,BURGLARY/BREAKING&ENTERING,2019-06,88.4,639
18,18,BURGLARY/BREAKING&ENTERING,2019-07,89.78,649
19,19,BURGLARY/BREAKING&ENTERING,2019-08,90.33,653
20,20,BURGLARY/BREAKING&ENTERING,2019-09,91.99,665
21,21,BURGLARY/BREAKING&ENTERING,2019-10,93.38,675
22,22,BURGLARY/BREAKING&ENTERING,2019-11,92.96,672
23,23,BURGLARY/BREAKING&ENTERING,2019-12,94.34,682
24,24,BURGLARY/BREAKING&ENTERING,2020-01,89.09,659
25,25,BURGLARY/BREAKING&ENTERING,2020-02,80.7,597
26,26,BURGLARY/BREAKING&ENTERING,2020-03,102.2,756
27,27,BURGLARY/BREAKING&ENTERING,2020-04,131.8,975
28,28,BURGLARY/BREAKING&ENTERING,2020-05,122.48,906
29,29,BURGLARY/BREAKING&ENTERING,2020-06,103.01,762
30,30,BURGLARY/BREAKING&ENTERING,2020-07,116.66,863
31,31,BURGLARY/BREAKING&ENTERING,2020-08,123.02,910
32,32,BURGLARY/BREAKING&ENTERING,2020-09,140.73,1041
33,33,BURGLARY/BREAKING&ENTERING,2020-10,135.99,1006
34,34,BURGLARY/BREAKING&ENTERING,2020-11,129.64,959
35,35,BURGLARY/BREAKING&ENTERING,2020-12,135.32,1001
36,36,BURGLARY/BREAKING&ENTERING,2021-01,118.91,900
37,37,BURGLARY/BREAKING&ENTERING,2021-02,103.84,786
38,38,BURGLARY/BREAKING&ENTERING,2021-03,111.11,841
39,39,BURGLARY/BREAKING&ENTERING,2021-04,105.56,799
40,40,BURGLARY/BREAKING&ENTERING,2021-05,110.85,839
41,41,BURGLARY/BREAKING&ENTERING,2021-06,103.98,787
42,42,BURGLARY/BREAKING&ENTERING,2021-07,104.51,791
43,43,BURGLARY/BREAKING&ENTERING,2021-08,94.33,714
44,44,BURGLARY/BREAKING&ENTERING,2021-09,103.58,784
45,45,BURGLARY/BREAKING&ENTERING,2021-10,115.07,871
46,46,BURGLARY/BREAKING&ENTERING,2021-11,119.04,901
47,47,BURGLARY/BREAKING&ENTERING,2021-12,114.28,865
48,48,BURGLARY/BREAKING&ENTERING,2022-01,116.34,901
49,49,BURGLARY/BREAKING&ENTERING,2022-02,103.17,799
50,50,BURGLARY/BREAKING&ENTERING,2022-03,104.07,806
51,51,BURGLARY/BREAKING&ENTERING,2022-04,96.45,747
52,52,BURGLARY/BREAKING&ENTERING,2022-05,100.59,779
53,53,BURGLARY/BREAKING&ENTERING,2022-06,86.9,673
54,54,BURGLARY/BREAKING&ENTERING,2022-07,95.68,741
55,55,BURGLARY/BREAKING&ENTERING,2022-08,86.77,672
56,56,BURGLARY/BREAKING&ENTERING,2022-09,81.61,632
57,57,BURGLARY/BREAKING&ENTERING,2022-10,98.0,759
58,58,BURGLARY/BREAKING&ENTERING,2022-11,85.22,660
59,59,BURGLARY/BREAKING&ENTERING,2022-12,77.73,602
60,60,BURGLARY/BREAKING&ENTERING,2023-01,82.66,655
61,61,BURGLARY/BREAKING&ENTERING,2023-02,39.75,315
